bench-wer  2026-06-25 00:09:48  iters=5  cores=1-6 (pinned)  gov=performance

── moonshine-base ──
  sample                   audio     enc     dec    RTF    RSS   CPU    WER strict
  ls_6128-63244-0021.wav   10.5s  1596ms  1819ms  0.326  738MB  193%  0.100  0.233
  ls_6432-63722-0052.wav    3.7s   648ms  1011ms  0.450  609MB  149%  0.000  0.000
  ls_6432-63722-0057.wav    1.5s   257ms   273ms  0.346  589MB  128%  0.000  0.000
  ls_6432-63722-0059.wav    1.7s   249ms   390ms  0.372  588MB  143%  0.000  0.000
  ls_6432-63723-0000.wav    5.9s   773ms   730ms  0.254  649MB  179%  0.000  0.167
  ls_6432-63723-0014.wav    6.5s   733ms   828ms  0.239  653MB  202%  0.059  0.059
  ls_6432-63723-0047.wav    3.3s   383ms   414ms  0.239  600MB  176%  0.000  0.000
  ls_6432-63723-0050.wav    6.1s   682ms   669ms  0.223  647MB  204%  0.000  0.071
  ls_6938-70848-0000.wav    3.0s   267ms   386ms  0.218  599MB  173%  0.000  0.000
  ls_6938-70848-0026.wav    2.2s   238ms   283ms  0.241  590MB  160%  0.000  0.000
  ls_6938-70848-0027.wav    4.7s   524ms   502ms  0.219  618MB  196%  0.077  0.154
  ls_7018-75789-0002.wav   12.7s  1621ms  1848ms  0.273  790MB  229%  0.206  0.324
  ls_7018-75789-0031.wav   15.4s  1908ms  2656ms  0.296  862MB  244%  0.041  0.041
  ls_7105-2330-0013.wav     6.3s   526ms   633ms  0.183  650MB  226%  0.167  0.417
  ls_7105-2330-0024.wav     1.9s   159ms   165ms  0.171  590MB  170%  0.200  0.200
  ls_7105-2340-0029.wav     4.0s   317ms   388ms  0.178  611MB  208%  0.000  0.100
  ls_7902-96591-0009.wav    3.3s   281ms   474ms  0.228  599MB  196%  0.000  0.067
  ls_7902-96591-0024.wav    4.2s   358ms   676ms  0.245  617MB  210%  0.136  0.136
  ls_7902-96592-0008.wav    1.9s   147ms   264ms  0.216  591MB  173%  0.125  0.250
  ls_7902-96594-0000.wav    2.2s   209ms   374ms  0.270  589MB  175%  0.444  0.556
  ls_7902-96595-0022.wav    1.9s   161ms   235ms  0.206  592MB  169%  0.000  0.000
  ls_7975-280057-0000.wav    4.2s   416ms   575ms  0.235  615MB  195%  0.000  0.067
  ls_7975-280057-0019.wav    8.6s   809ms   991ms  0.209  701MB  226%  0.038  0.038
  ls_7975-280076-0009.wav    6.7s   730ms  1111ms  0.274  659MB  220%  0.080  0.240
  ls_7975-280076-0026.wav    3.3s   290ms   408ms  0.211  600MB  189%  0.111  0.222
  ls_7975-280085-0016.wav    5.5s   473ms   780ms  0.229  642MB  231%  0.222  0.222
  ls_8131-117016-0050.wav    1.8s   134ms   167ms  0.169  589MB  169%  0.000  0.000
  ls_8131-117029-0013.wav    3.3s   249ms   371ms  0.190  600MB  198%  0.000  0.375
  ls_8131-117029-0021.wav    4.5s   367ms   576ms  0.211  618MB  216%  0.000  0.500
  ls_8188-269290-0000.wav    1.6s   109ms   152ms  0.160  589MB  161%  0.000  0.200
  ls_8280-266249-0029.wav    6.4s   591ms   876ms  0.228  655MB  233%  0.000  0.000
  ----------------------------------------------------------------------------
  AGGREGATE               622.8s 89644ms 107607ms  0.317 1010MB  244%  0.123  0.202

── SUMMARY (peak RSS, total enc+dec, aggregate RTF/WER) ──
  model                         RSS   enc+dec     RTF     xRT     WER  strict
  moonshine-base              381MB   69338ms   0.111    9.0x   0.146   0.207
  moonshine-streaming-small   656MB  105706ms   0.170    5.9x   0.166   0.237
  moonshine-streaming-medium 1010MB  197251ms   0.317    3.2x   0.123   0.202

wrote tools/zz_results.txt
